bin,encoder_phase_counts,detrended_error_arcsec
1.860000000000000000e+02,6.094848000000000320e+04,6.331610796685758658e+00
1.870000000000000000e+02,6.127616000000000349e+04,6.168557511565080809e+00
1.880000000000000000e+02,6.160384000000000378e+04,6.133889398788684666e+00
1.890000000000000000e+02,6.193152000000000407e+04,6.558584100374410752e+00
1.900000000000000000e+02,6.225920000000000437e+04,7.087193993798993397e+00
1.910000000000000000e+02,6.258688000000000466e+04,7.468140485117541694e+00
1.920000000000000000e+02,6.291455999999999767e+04,7.779010550068494290e+00
1.930000000000000000e+02,6.324223999999999796e+04,8.141257617537881686e+00
1.940000000000000000e+02,6.356991999999999825e+04,8.567139559602393817e+00
1.950000000000000000e+02,6.389759999999999854e+04,9.010934227841092437e+00
1.960000000000000000e+02,6.422527999999999884e+04,9.231174460252406178e+00
1.970000000000000000e+02,6.455295999999999913e+04,9.609876676189777811e+00
1.980000000000000000e+02,6.488063999999999942e+04,1.010459991653834599e+01
