bin,encoder_phase_counts,detrended_error_arcsec
1.210000000000000000e+02,3.964927999999999884e+04,-8.157850563213919770e-02
1.220000000000000000e+02,3.997695999999999913e+04,-1.647488575266719268e-01
1.230000000000000000e+02,4.030463999999999942e+04,-7.810971392743265573e-01
1.240000000000000000e+02,4.063231999999999971e+04,-1.318337556226554019e+00
1.250000000000000000e+02,4.096000000000000000e+04,-7.837529409763153154e-01
1.260000000000000000e+02,4.128768000000000029e+04,-3.443056942521997149e-02
1.270000000000000000e+02,4.161536000000000058e+04,9.248470722129405186e-02
1.280000000000000000e+02,4.194304000000000087e+04,-7.055210928061977915e-01
1.290000000000000000e+02,4.227072000000000116e+04,-1.381989701853777452e+00
1.300000000000000000e+02,4.259840000000000146e+04,-1.099200662314308907e+00
1.310000000000000000e+02,4.292608000000000175e+04,-4.428005780343218234e-01
1.320000000000000000e+02,4.325376000000000204e+04,-7.580498862303070018e-01
1.330000000000000000e+02,4.358144000000000233e+04,-1.814214690829813570e+00
1.340000000000000000e+02,4.390912000000000262e+04,-2.824101482746334657e+00
1.350000000000000000e+02,4.423680000000000291e+04,-2.987570637131491846e+00
1.360000000000000000e+02,4.456448000000000320e+04,-1.654883664760797179e+00
1.370000000000000000e+02,4.489216000000000349e+04,-1.417900455854636865e+00
1.380000000000000000e+02,4.521984000000000378e+04,-2.148571949764179312e+00
1.390000000000000000e+02,4.554752000000000407e+04,-2.561035510612791111e+00
1.400000000000000000e+02,4.587520000000000437e+04,-2.274789252728255828e+00
1.410000000000000000e+02,4.620287999999999738e+04,-1.068185769204415658e+00
1.420000000000000000e+02,4.653055999999999767e+04,-7.401245767790426422e-01
1.430000000000000000e+02,4.685823999999999796e+04,-1.555603979999604425e+00
1.440000000000000000e+02,4.718591999999999825e+04,-2.255994674371106345e+00
1.450000000000000000e+02,4.751359999999999854e+04,-2.112350826778994328e+00
1.460000000000000000e+02,4.784127999999999884e+04,-5.348006017613272656e-01
1.470000000000000000e+02,4.816895999999999913e+04,-2.395669243238141843e-01
1.480000000000000000e+02,4.849663999999999942e+04,-1.307513916085293104e+00
1.490000000000000000e+02,4.882431999999999971e+04,-2.258956539508582662e+00
1.500000000000000000e+02,4.915200000000000000e+04,-2.332506997345247690e+00
1.510000000000000000e+02,4.947968000000000029e+04,-1.454981382133917256e+00
1.520000000000000000e+02,4.980736000000000058e+04,-7.516079925147106655e-01
1.530000000000000000e+02,5.013504000000000087e+04,-1.224539491095597121e+00
1.540000000000000000e+02,5.046272000000000116e+04,-2.343827747409815476e+00
1.550000000000000000e+02,5.079040000000000146e+04,-2.640162578586189301e+00
1.560000000000000000e+02,5.111808000000000175e+04,-1.598134829479528340e+00
1.570000000000000000e+02,5.144576000000000204e+04,-7.728065924387305108e-01
1.580000000000000000e+02,5.177344000000000233e+04,-8.531296320020151924e-01
1.590000000000000000e+02,5.210112000000000262e+04,-1.491055662503445456e+00
1.600000000000000000e+02,5.242880000000000291e+04,-1.572026523511633078e+00
1.610000000000000000e+02,5.275648000000000320e+04,-6.555426962846876426e-01
1.620000000000000000e+02,5.308416000000000349e+04,1.876562021667925462e-01
1.630000000000000000e+02,5.341184000000000378e+04,6.057485717439972106e-01
1.640000000000000000e+02,5.373952000000000407e+04,2.064228213949048651e-01
1.650000000000000000e+02,5.406720000000000437e+04,6.501714323879337343e-02
1.660000000000000000e+02,5.439488000000000466e+04,4.222365947051545665e-01
1.670000000000000000e+02,5.472255999999999767e+04,9.383342904023003195e-01
1.680000000000000000e+02,5.505023999999999796e+04,5.666547490969598977e-01
1.690000000000000000e+02,5.537791999999999825e+04,-5.132395120184884973e-02
1.700000000000000000e+02,5.570559999999999854e+04,-2.780154871569697761e-01
1.710000000000000000e+02,5.603327999999999884e+04,1.213296559177227535e-01
1.720000000000000000e+02,5.636095999999999913e+04,-2.680401579340238594e-01
1.730000000000000000e+02,5.668863999999999942e+04,-1.549996612919028183e-01
1.740000000000000000e+02,5.701631999999999971e+04,-4.372827973067924812e-01
