elapsed_ms,actual_interval_ms,encoder,delta_counts,command_speed_hz,reference_speed_hz,actual_speed_hz,position_error_arcsec
1113597,83.8558479990752,16568074,-43.0,59.42,59.42,78.24474325210284,277.48967916921987
1113681,83.8620649992663,16568034,-40.0,59.42,59.42,72.78041179946379,277.20606988940045
1113765,83.72267900267616,16567996,-38.0,59.42,59.42,69.25650149781589,276.9976117679933
1113849,83.88832699711202,16567957,-39.0,59.42,59.42,70.93868655384998,276.753021296491
1113933,83.80515800308785,16567916,-41.0,59.42,59.42,74.65057837364246,276.429932286511
1114016,83.73255599872209,16567884,-32.0,59.42,59.42,58.31438490990912,276.4533655808015
1114100,83.80012799898395,16567848,-36.0,59.42,59.42,65.55078367620874,276.32331996517394
1114184,83.87676500205998,16567809,-39.0,59.42,59.42,70.94846509911115,276.0785555933172
1114268,83.85642499706591,16567776,-33.0,59.42,59.42,60.047878153655915,276.0652281526883
1114352,83.8143780019891,16567740,-36.0,59.42,59.42,65.53963882389768,275.93539686690275
1114436,83.82026400067843,16567703,-37.0,59.42,59.42,67.35545420233112,275.7670303007697
1114519,83.83458299795166,16567662,-41.0,59.42,59.42,74.62437686101279,275.4443838629421
1114603,83.71437200185028,16567627,-35.0,59.42,59.42,63.7952127474236,275.3516722279748
1114687,83.85628099858877,16567586,-41.0,59.42,59.42,74.60506763626071,275.0293521429942
1114771,83.86214200072573,16567552,-34.0,59.42,59.42,61.863293227176385,274.97748688021636
1114855,83.94681500067236,16567518,-34.0,59.42,59.42,61.80089478330354,274.92689515757036
1114938,83.54821299872128,16567484,-34.0,59.42,59.42,62.09574202777267,274.87030818677613
1115022,83.43807500205003,16567451,-33.0,59.42,59.42,60.34895208813582,274.8506884746066
1115105,83.45261899739853,16567421,-30.0,59.42,59.42,54.85312233151962,274.94715894356943
1115189,83.43211700048414,16567388,-33.0,59.42,59.42,60.35326168932979,274.9274496189602
1115272,83.4504949998518,16567358,-30.0,59.42,59.42,54.85451846340911,275.0238881415397
1115356,83.42470500065247,16567326,-32.0,59.42,59.42,58.52957466210772,275.0426911451717
1115439,83.4396669997659,16567300,-26.0,59.42,59.42,47.5467520293571,275.2934620464435
1115522,83.46829400034039,16567270,-30.0,59.42,59.42,54.84282114034021,275.3901682782271
1115606,83.41697799914982,16567240,-30.0,59.42,59.42,54.87655904768757,275.4861026820731
1115689,83.4311130020069,16567213,-27.0,59.42,59.42,49.38053561356539,275.69812111552324
1115773,83.42755400008173,16567186,-27.0,59.42,59.42,49.38264217683961,275.9100860191376
1115856,83.41957399898092,16567155,-31.0,59.42,59.42,56.704013010576936,275.9674356587914
1115940,83.44753300116281,16567128,-27.0,59.42,59.42,49.37081898895191,276.17970106031754
1116023,83.4418319973338,16567101,-27.0,59.42,59.42,49.37419215587982,276.3918807148267
1116106,83.45652800198877,16567074,-27.0,59.42,59.42,49.365497768812325,276.6042814073494
1116190,83.43868199881399,16567042,-32.0,59.42,59.42,58.51977024360722,276.62329463464295
1116273,83.42865200029337,16567016,-26.0,59.42,59.42,47.55302957832819,276.8738998627498
1116357,83.40930000122171,16566982,-34.0,59.42,59.42,62.19915862108915,276.81522354497054
1116440,83.42672899743775,16566955,-27.0,59.42,59.42,49.38313051925519,277.0271760399779
1116524,83.47040300213848,16566916,-39.0,59.42,59.42,71.29386609314129,276.7762997042685
1116607,83.46458300002269,16566882,-34.0,59.42,59.42,62.15796083529933,276.7184548807983
1116691,83.76657899862039,16566852,-30.0,59.42,59.42,54.647530954145715,276.819647524027
1116775,83.87710100214463,16566814,-38.0,59.42,59.42,69.1289967639886,276.61351201565697
1116859,83.80460199987283,16566774,-40.0,59.42,59.42,72.83031575055105,276.32903845282084
1116942,83.76910399965709,16566741,-33.0,59.42,59.42,60.11047212162628,276.3143976443577
1117026,83.61095899817883,16566704,-37.0,59.42,59.42,67.5240664713339,276.1428829870899
1117109,83.53192399954423,16566668,-36.0,59.42,59.42,65.76125389533674,276.00880339892046
1117193,83.58056500219391,16566633,-35.0,59.42,59.42,63.89734469651904,275.91407921468607
1117276,83.43734399750247,16566590,-43.0,59.42,59.42,78.63720227086087,275.508210409561
1117360,83.41286799986847,16566555,-35.0,59.42,59.42,64.02580680817043,275.4109639471199
1117444,83.70065000053728,16566514,-41.0,59.42,59.42,74.7437865247742,275.0863030649323
1117527,83.80256100281258,16566472,-42.0,59.42,59.42,76.47369399647478,274.7245511844682
1117611,83.68267699916032,16566437,-35.0,59.42,59.42,63.819375328164845,274.6313628348702
1117695,83.87684599802014,16566399,-38.0,59.42,59.42,69.12920693139637,274.42522349106287
1117779,83.7994970024738,16566358,-41.0,59.42,59.42,74.65562132718192,274.10204933574164
1117863,83.82897499905084,16566322,-36.0,59.42,59.42,65.52822651788593,273.9724375988274
1117946,83.79020799839054,16566279,-43.0,59.42,59.42,78.30603901831859,273.5718761108697
1118030,83.8800679994165,16566244,-35.0,59.42,59.42,63.66919220800049,273.4816566576218
1118114,83.865587002947,16566206,-38.0,59.42,59.42,69.13848756041318,273.275347970788
1118198,83.8653369974054,16566168,-38.0,59.42,59.42,69.13869366469471,273.0690355236989
1118282,83.86151000013342,16566129,-39.0,59.42,59.42,70.96137112682007,272.8240417061254
1118366,83.8722720000078,16566088,-41.0,59.42,59.42,74.59084351052775,272.50196213679993
1118449,83.65109100122936,16566051,-37.0,59.42,59.42,67.49167148390245,272.3310510924487
1118533,83.42889900086448,16566009,-42.0,59.42,59.42,76.81620497213555,271.9636790785828
1118616,83.41793599902303,16565969,-40.0,59.42,59.42,73.16790510222505,271.673389793261
1118700,83.872743001848,16565933,-36.0,59.42,59.42,65.49403138489184,271.54443635719923
1118784,83.83414999843808,16565897,-36.0,59.42,59.42,65.52418152509858,271.41490245583356
1118868,83.62859499902697,16565858,-39.0,59.42,59.42,71.1590064910721,271.1664054365143
1118951,83.45479000126943,16565816,-42.0,59.42,59.42,76.79237352526461,270.7994228410945
1119034,83.49587300108396,16565783,-33.0,59.42,59.42,60.307176985377815,270.78067245056656
1119118,83.5848389979219,16565749,-34.0,59.42,59.42,62.06853232532977,270.7246363599807
1119202,83.60245199946803,16565716,-33.0,59.42,59.42,60.230295525985774,270.70748899086146
1119285,83.54253700235859,16565686,-30.0,59.42,59.42,54.79408314617933,270.80531188843753
1119369,83.54104899990489,16565657,-29.0,59.42,59.42,52.96855714763694,270.94173621524817
1119452,83.4809759980999,16565626,-31.0,59.42,59.42,56.66230602625758,271.00000938318254
1119536,83.41088399902219,16565592,-34.0,59.42,59.42,62.19797744034001,270.9413568898192
1119619,83.36616800079355,16565561,-31.0,59.42,59.42,56.740338710662265,270.9979032665436
1119703,83.54415600115317,16565528,-33.0,59.42,59.42,60.27232342326249,270.97987908553125
1119786,83.47660900108167,16565500,-28.0,59.42,59.42,51.18153442774177,271.1539580002715
1119870,83.5644319995481,16565468,-32.0,59.42,59.42,58.431708122259536,271.1748625940292
1119953,83.75874699777341,16565441,-27.0,59.42,59.42,49.18737677611772,271.39180886802404
1120037,83.85088100112625,16565409,-32.0,59.42,59.42,58.23209537815608,271.4170218516992
1120121,83.79314700141549,16565382,-27.0,59.42,59.42,49.167183645762876,271.6344855253988
1120205,83.85315399937099,16565349,-33.0,59.42,59.42,60.05022053985915,271.6211088867157
1120289,83.86786000119173,16565318,-31.0,59.42,59.42,56.400921751285715,271.6852010560394
1120372,83.74982899840688,16565288,-30.0,59.42,59.42,54.65846048279188,271.78614176774926
1120456,83.81375699900673,16565258,-30.0,59.42,59.42,54.6167703567357,271.8880440005386
1120540,83.8113700010581,16565230,-28.0,59.42,59.42,50.977104150022384,272.0671579508668
1120624,83.72822399905999,16565197,-33.0,59.42,59.42,60.13982084083776,272.0519022790897
1120707,83.53710400115233,16565163,-34.0,59.42,59.42,62.103999693099674,271.9951482213346
1120791,83.51243400102248,16565130,-33.0,59.42,59.42,60.29521772246932,271.9766469196314
1120874,83.47161599886022,16565098,-32.0,59.42,59.42,58.49668107619569,271.9961554969277
1120958,83.47186099854298,16565067,-31.0,59.42,59.42,56.668493463414784,272.0542915690022
1121041,83.56929500223487,16565034,-33.0,59.42,59.42,60.254192529568904,272.0366454958492
1121125,83.42511799855856,16564996,-38.0,59.42,59.42,69.50352583079577,271.8237118523669
